return_id,sale_id,product_id,product_name,category,store_id,customer_id,purchase_date,return_request_date,return_received_date,return_reason,reason_category,quantity_returned,unit_price,refund_amount,refund_method,return_channel,condition_on_return,rma_number,rma_status,supplier_id,supplier_name,is_supplier_defect,complaint_severity,customer_satisfaction_score,sla_days,actual_resolution_days,sla_breached,resolution_type,agent_notes
RET-001,1024,101,Wireless Bluetooth Headphones,Electronics,5,CUST-0442,2025-01-10,2025-01-18,2025-01-22,Bluetooth range under 5 meters instead of advertised 10m,Product Defect,1,29.99,29.99,Original Payment,Online,Defective,RMA-2025-0001,Closed,1,GlobalTech Components,Yes,High,2,7,4,No,Full Refund,Known batch issue BT-2024-Q4. Customer reported range drops after 3 meters. Linked to GlobalTech quality alert. Forwarded to supplier quality team.
RET-002,1056,102,USB-C Charging Cable 2m,Electronics,12,CUST-0187,2025-01-15,2025-01-16,2025-01-20,Cable overheating during fast charging,Safety Issue,2,9.99,19.98,Original Payment,In-Store,Defective,RMA-2025-0002,Closed,1,GlobalTech Components,Yes,Critical,1,3,1,No,Full Refund + Recall,SAFETY RECALL triggered. Customer reported cable melting at connector. Pulled all units from batch. GlobalTech issued voluntary recall for USB-C cables manufactured Oct 2024.
RET-003,1102,112,Memory Foam Pillow,Home & Kitchen,3,CUST-0891,2025-01-20,2025-02-05,2025-02-10,Chemical smell did not dissipate after 2 weeks,Product Quality,1,24.99,24.99,Store Credit,Online,Used - Acceptable,RMA-2025-0003,Closed,3,AmeriParts Inc.,No,Medium,3,7,5,No,Full Refund,Customer followed off-gassing instructions but smell persisted. Not a batch-wide issue - isolated complaint. Offered store credit as goodwill.
RET-004,1150,118,Running Shoes Mens,Sports & Fitness,8,CUST-0334,2025-02-01,2025-02-03,2025-02-08,Sole separating after 3 days of use,Product Defect,1,79.99,79.99,Original Payment,In-Store,Defective,RMA-2025-0004,Closed,7,Shenzhen Fast Supply,Yes,High,2,7,5,No,Full Refund + Replacement,Adhesive failure on sole. Third quality issue from Shenzhen Fast Supply this quarter. Escalated to supplier relationship manager. Customer received free replacement pair from new batch.
RET-005,1198,147,Ergonomic Mouse Pad,Office Supplies,15,CUST-0562,2025-02-10,2025-02-14,2025-02-19,Gel wrist rest delaminating after 1 week,Product Defect,1,12.99,12.99,Original Payment,Online,Defective,RMA-2025-0005,Closed,7,Shenzhen Fast Supply,Yes,Medium,3,7,5,No,Full Refund,Known defect - adhesive supplier change caused delamination in ~8% of units. Shenzhen Fast Supply acknowledged and reverting adhesive. Batch pulled from inventory.
RET-006,1230,110,Smart Fitness Tracker,Electronics,1,CUST-0723,2025-02-15,2025-02-18,2025-02-25,Heart rate monitor inaccurate readings during exercise,Product Defect,1,59.99,59.99,Original Payment,Online,Defective,RMA-2025-0006,Closed,19,Taiwan Precision Corp,Yes,High,2,7,7,No,Replacement,Sensor calibration issue identified. Taiwan Precision Corp sent firmware update within 48hrs. Customer opted for replacement with updated firmware pre-installed.
RET-007,1275,107,Premium Yoga Mat,Sports & Fitness,22,CUST-0145,2025-02-20,2025-03-01,null,Wrong color received - ordered blue got grey,Fulfillment Error,1,34.99,34.99,Original Payment,Online,New - Unopened,RMA-2025-0007,Awaiting Return,11,Mumbai Textiles Ltd,No,Low,4,10,null,No,Replacement,Warehouse picking error at Midwest Fulfillment Center. Correct item shipped immediately. Customer keeping wrong color until replacement arrives.
RET-008,1310,144,Dried Fruit Mix 1kg,Food & Beverage,6,CUST-0478,2025-03-01,2025-03-02,2025-03-03,Package arrived torn and product exposed,Shipping Damage,1,16.99,16.99,Original Payment,In-Store,Damaged,RMA-2025-0008,Closed,16,Casablanca Imports,No,Medium,3,3,1,No,Full Refund,Packaging integrity compromised during transit. FedEx claim filed. Casablanca Imports packaging quality flagged - third incident this quarter.
RET-009,1342,132,Outdoor Solar Lights 6pk,Home & Garden,19,CUST-0256,2025-03-05,2025-03-15,2025-03-20,Only 2 of 6 lights working after first charge,Product Defect,1,29.99,29.99,Original Payment,Online,Defective,RMA-2025-0009,Closed,7,Shenzhen Fast Supply,Yes,High,1,7,5,No,Full Refund,Photovoltaic cell defect. 4 of 6 units had faulty solar panels. Linked to Shenzhen Fast Supply PV cell supplier issue. Customer very unhappy - third Shenzhen product returned this month by different customers.
RET-010,1380,129,Mechanical Keyboard,Electronics,10,CUST-0612,2025-03-10,2025-03-12,2025-03-18,Multiple keys registering double inputs,Product Defect,1,59.99,59.99,Original Payment,In-Store,Defective,RMA-2025-0010,Closed,19,Taiwan Precision Corp,Yes,Medium,3,7,6,No,Replacement,Switch debounce issue on Cherry MX Blue switches. Taiwan Precision Corp identified batch with out-of-spec springs. Replacement sent with verified batch. Supplier very responsive.
RET-011,1415,108,Vitamin D Supplements 120ct,Health & Wellness,4,CUST-0934,2025-03-15,2025-03-16,2025-03-18,Bottle seal broken on arrival,Shipping Damage,1,12.99,12.99,Original Payment,Online,Damaged,RMA-2025-0011,Closed,13,Rhine Chemicals AG,No,High,3,3,2,No,Full Refund + Replacement,Seal tamper-evident ring was cracked. Cannot resell. Rhine Chemicals packaging is fine - damage occurred in last-mile delivery. UPS claim filed. Customer received replacement next day.
RET-012,1450,126,Cast Iron Skillet 12in,Home & Kitchen,7,CUST-0089,2025-03-20,2025-03-22,2025-03-28,Seasoning flaking off on first use,Product Quality,1,39.99,39.99,Store Credit,In-Store,Used - Acceptable,RMA-2025-0012,Closed,8,MidWest Industrial,No,Low,4,7,6,No,Exchange,Pre-seasoning quality inconsistent in recent batch. Not a safety issue. Customer exchanged for new unit. MidWest Industrial notified - adjusting seasoning process temperature.
RET-013,1488,134,Wireless Earbuds Pro,Electronics,20,CUST-0367,2025-04-01,2025-04-05,2025-04-12,Left earbud not charging in case,Product Defect,1,49.99,49.99,Original Payment,Online,Defective,RMA-2025-0013,Closed,15,Seoul Electronics,Yes,Medium,3,7,7,No,Replacement,Charging pin misalignment in case. Seoul Electronics identified manufacturing tolerance issue. Fixed in subsequent production run. Replacement unit works perfectly.
RET-014,1520,113,Resistance Band Set,Sports & Fitness,14,CUST-0501,2025-04-05,2025-04-06,2025-04-10,Heavy band snapped during first use,Safety Issue,1,14.99,14.99,Original Payment,In-Store,Defective,RMA-2025-0014,Closed,7,Shenzhen Fast Supply,Yes,Critical,1,3,4,Yes,Full Refund + Safety Review,SAFETY CONCERN. Latex band failure could cause injury. Customer not hurt but filed complaint. All heavy bands from batch SFS-RB-2024-11 pulled. Shenzhen Fast Supply corrective action #5 - material strength testing required on all future batches.
