freight_id,shipment_id,po_id,carrier,origin_city,destination_warehouse_id,lane,service_level,shipped_date,delivery_date,weight_kg,freight_rate_per_kg,fuel_surcharge_pct,base_freight_cost,fuel_surcharge,accessorial_charges,total_freight_cost,invoice_number,invoice_status,payment_date,cost_per_unit_shipped,units_shipped,detention_hours,detention_charge,damage_claim_amount,on_time,carrier_rating,notes
FRT-001,1,1,UPS,Germany,6,Germany-Southeast Hub,Express,2025-03-13,2025-03-31,64.05,2.85,12.5,182.54,22.82,0.00,205.36,INV-UPS-20250401,Paid,2025-04-15,1.37,150,0,0.00,0.00,No,3.5,Delayed 10 days due to customs hold in Frankfurt. Carrier claims shipper documentation incomplete.
FRT-002,2,2,USPS,South Korea,7,South Korea-Pacific NW,Standard,2026-01-19,2026-01-30,259.00,1.95,11.0,505.05,55.56,25.00,585.61,INV-USPS-20260205,Paid,2026-02-20,1.95,300,0,0.00,0.00,Yes,4.2,On-time delivery. Smooth customs clearance via Busan port.
FRT-003,3,3,FedEx,Vietnam,2,Vietnam-East Coast Hub,Standard,2025-04-15,2025-04-30,222.00,2.10,13.0,466.20,60.61,0.00,526.81,INV-FDX-20250510,Paid,2025-05-25,2.63,200,0,0.00,0.00,Yes,4.5,Excellent handling. Temperature-controlled container used for supplements.
FRT-004,4,4,UPS,China,6,China-Southeast Hub,Economy,2025-11-05,2025-11-24,66.30,2.50,14.0,165.75,23.21,40.00,228.96,INV-UPS-20251201,Paid,2025-12-15,1.15,200,3,150.00,0.00,No,3.0,5-day delay. Shenzhen port congestion. 3hrs detention at destination warehouse due to dock scheduling conflict.
FRT-005,5,5,XPO Logistics,South Korea,8,South Korea-MidWest,Express,2025-05-06,2025-05-17,213.50,2.30,10.5,491.05,51.56,0.00,542.61,INV-XPO-20250525,Paid,2025-06-10,2.17,250,0,0.00,0.00,Yes,4.8,Early delivery by 1 day. Excellent carrier communication throughout transit.
FRT-006,8,8,DHL,Turkey,4,Turkey-Midwest,Standard,2025-06-20,2025-07-08,85.40,2.65,11.5,226.31,26.03,15.00,267.34,INV-DHL-20250715,Paid,2025-07-30,2.67,100,0,0.00,0.00,No,3.2,3-day delay due to Istanbul customs inspection. Accessorial charge for liftgate delivery.
FRT-007,12,12,Maersk,Brazil,1,Brazil-East Coast Hub,Ocean Freight,2025-08-01,2025-09-02,1450.00,0.85,15.0,1232.50,184.88,75.00,1492.38,INV-MSK-20250910,Disputed,null,1.66,900,8,400.00,1250.00,No,2.0,Container arrived with water damage. 8hrs detention at port. Damage claim filed for $1250. Maersk disputing responsibility - claims improper containerization by shipper.
FRT-008,15,15,FedEx,Japan,3,Japan-Midwest,Express,2025-04-10,2025-04-18,178.00,3.10,12.0,551.80,66.22,0.00,618.02,INV-FDX-20250425,Paid,2025-05-10,2.06,300,0,0.00,0.00,Yes,4.7,Premium service. Real-time tracking excellent. Fragile electronics handled with care.
FRT-009,20,20,UPS,India,5,India-Pacific NW,Standard,2025-09-15,2025-10-05,310.00,2.20,13.5,682.00,92.07,30.00,804.07,INV-UPS-20251010,Paid,2025-10-25,2.01,400,2,100.00,0.00,No,3.3,5-day delay. Mumbai port strike caused backup. 2hrs detention. Accessorial for residential area delivery reroute.
FRT-010,25,25,DHL,Germany,2,Germany-East Coast Hub,Express,2025-07-01,2025-07-08,95.20,3.25,10.0,309.40,30.94,0.00,340.34,INV-DHL-20250715,Paid,2025-07-30,2.27,150,0,0.00,0.00,Yes,4.6,Fast transit. DHL European hub routing efficient. No issues.
